02/11/2020 13:41:49: PM Audit File Started
02/11/2020 13:43:04: PM Audit File Stopped
02/11/2020 13:43:09: PM Audit File Started
02/11/2020 13:43:18: PM GIVE CHANGE: $0.00 $0.00
02/11/2020 13:44:02: PM FEED MONEY: $0 $0.00
02/11/2020 13:44:43: PM FEED MONEY: $3 $3.00
02/11/2020 13:44:50: PM FEED MONEY: $0 $3.00
02/11/2020 13:44:57: PM FEED MONEY: $1 $4.00
02/11/2020 13:45:02: PM GIVE CHANGE: $4.00 $0.00
02/11/2020 13:45:13: PM FEED MONEY: $2 $2.00
02/11/2020 13:45:42: PM Triplemint D4 $0.75 $1.25
02/11/2020 13:46:10: PM Cola C1 $1.25 $0.00
02/11/2020 13:46:29: PM FEED MONEY: $3 $3.00
02/11/2020 13:46:37: PM Cola C1 $1.25 $1.75
02/11/2020 13:46:44: PM Cola C1 $1.25 $0.50
02/11/2020 13:47:05: PM FEED MONEY: $1 $1.50
02/11/2020 13:47:11: PM U-Chews D1 $0.85 $0.65
02/11/2020 13:47:16: PM FEED MONEY: $1 $1.65
02/11/2020 13:47:20: PM Cola C1 $1.25 $0.40
02/11/2020 13:47:46: PM FEED MONEY: $1 $1.40
02/11/2020 13:47:51: PM Cola C1 $1.25 $0.15
02/11/2020 13:48:31: PM GIVE CHANGE: $0.15 $0.00
02/11/2020 13:49:10: PM FEED MONEY: $2 $2.00
02/11/2020 13:49:18: PM Stackers A2 $1.45 $0.55
02/11/2020 13:49:22: PM GIVE CHANGE: $0.55 $0.00
02/11/2020 13:49:37: PM Audit File Stopped
